CustomerID,Recommendations
C0001,"[('C0173', 1.0), ('C0177', 0.9999), ('C0122', 0.9999)]"
C0002,"[('C0030', 0.9999), ('C0029', 0.9999), ('C0031', 0.9997)]"
C0003,"[('C0136', 0.9993), ('C0073', 0.9992), ('C0197', 0.9989)]"
C0004,"[('C0195', 0.9999), ('C0072', 0.9998), ('C0190', 0.9998)]"
C0005,"[('C0125', 1.0), ('C0064', 1.0), ('C0105', 0.9999)]"
C0006,"[('C0079', 1.0), ('C0117', 0.9997), ('C0096', 0.9994)]"
C0007,"[('C0171', 1.0), ('C0170', 0.9999), ('C0082', 0.9998)]"
C0008,"[('C0047', 0.9998), ('C0157', 0.9996), ('C0019', 0.9996)]"
C0009,"[('C0119', 0.9957), ('C0083', 0.992), ('C0147', 0.992)]"
C0010,"[('C0111', 0.9993), ('C0134', 0.9989), ('C0109', 0.9976)]"
C0011,"[('C0046', 1.0), ('C0131', 1.0), ('C0057', 1.0)]"
C0012,"[('C0102', 0.9996), ('C0145', 0.9987), ('C0101', 0.9984)]"
C0013,"[('C0059', 1.0), ('C0099', 0.9998), ('C0048', 0.9998)]"
C0014,"[('C0110', 0.9957), ('C0020', 0.9603), ('C0080', 0.9462)]"
C0015,"[('C0135', 0.9997), ('C0059', 0.9995), ('C0064', 0.9994)]"
C0016,"[('C0126', 0.9993), ('C0051', 0.9992), ('C0061', 0.999)]"
C0017,"[('C0181', 1.0), ('C0175', 0.9999), ('C0086', 0.9998)]"
C0018,"[('C0129', 0.9996), ('C0120', 0.9995), ('C0095', 0.9994)]"
C0019,"[('C0047', 0.9997), ('C0161', 0.9996), ('C0098', 0.9996)]"
C0020,"[('C0080', 0.9989), ('C0150', 0.9967), ('C0130', 0.9949)]"
